524288 matrix size;0:01.09elapsed;0:01.10elapsed;0:01.09elapsed;0:01.09elapsed;0:01.10elapsed;
1048576 matrix size;0:01.11elapsed;0:01.11elapsed;0:01.10elapsed;0:01.11elapsed;0:01.10elapsed;
