32768 matrix size;0:00.84elapsed;0:00.84elapsed;0:00.85elapsed;0:00.84elapsed;0:00.84elapsed;
65536 matrix size;0:00.84elapsed;0:00.84elapsed;0:00.84elapsed;0:00.84elapsed;0:00.84elapsed;
131072 matrix size;0:00.84elapsed;0:00.84elapsed;0:00.84elapsed;0:00.85elapsed;0:00.85elapsed;
262144 matrix size;0:00.85elapsed;0:00.85elapsed;0:00.85elapsed;0:00.85elapsed;0:00.84elapsed;
